route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
30,250901-MULTI-Weekday-01,24627244-250901-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1164654,300086,1,1
30,250901-MULTI-Weekday-01,24627245-250901-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1164543,300086,1,1
30,250901-MULTI-Weekday-01,24627246-250901-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1164651,300086,1,1
30,250901-MULTI-Weekday-01,24627247-250901-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1164652,300086,1,1
30,250901-MULTI-Weekday-01,24627248-250901-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1164545,300086,1,1
30,250901-MULTI-Weekday-01,24627249-250901-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1164549,300086,1,1
30,250901-MULTI-Weekday-01,24627250-250901-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1164654,300086,1,1
30,250901-MULTI-Weekday-01,24627251-250901-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1164679,300086,1,1
30,250901-MULTI-Weekday-01,24627252-250901-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1164543,300086,1,1
30,250901-MULTI-Weekday-01,24627253-250901-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1164651,300086,1,1
30,250901-MULTI-Weekday-01,24627254-250901-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1164652,300086,1,1
30,250901-MULTI-Weekday-01,24627255-250901-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1164548,300083,1,1
51,250901-MULTI-Weekday-01,24627256-250901-MULTI-Weekday-01,"51 HEREFORD WEST",1,1164084,510037,1,1
51,250901-MULTI-Weekday-01,24627257-250901-MULTI-Weekday-01,"51 HEREFORD WEST",1,1164084,510037,1,1
51,250901-MULTI-Weekday-01,24627258-250901-MULTI-Weekday-01,"51 HEREFORD WEST",1,1164084,510037,1,1
51,250901-MULTI-Weekday-01,24627259-250901-MULTI-Weekday-01,"51 HEREFORD WEST",1,1164084,510037,1,1
30,250901-MULTI-Weekday-01,24627260-250901-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1164653,300086,1,1
30,250901-MULTI-Weekday-01,24627261-250901-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1164548,300086,1,1
51,250901-MULTI-Weekday-01,24627262-250901-MULTI-Weekday-01,"51 HEREFORD WEST",1,1164084,510037,1,1
51,250901-MULTI-Weekday-01,24627263-250901-MULTI-Weekday-01,"51 HEREFORD WEST",1,1164084,510037,1,1
